ASM_OUTPUT_MAX_SKIP_ALIGN	6	6	1	PRESENCE	MINORITY	3	(FILE,LOG,MAX_SKIP) do { if ((LOG) != 0) { if ((MAX_SKIP) == 0 || (MAX_SKIP) >= (1 << (LOG)) - 1) fprintf ((FILE), "\t.p2align %d\n", (LOG)); else fprintf ((FILE), "\t.p2align %d,,%d\n", (LOG), (MAX_SKIP)); } } while (0)	(FILE,LOG,MAX_SKIP) do { if ((LOG) != 0) { if ((MAX_SKIP) == 0) fprintf ((FILE), "\t.p2align %d\n", (int) (LOG)); else fprintf ((FILE), "\t.p2align %d,,%d\n", (int) (LOG), (int) (MAX_SKIP)); } } while (0)
HAVE_cpymemqi	2	1	46	PRESENCE	majority	2	<undefined>	<undefined>
BLOCK_REG_PADDING	6	6	42	PRESENCE	majority	13	<undefined>	(MODE,TYPE,FIRST) (aarch64_pad_reg_upward (MODE, TYPE, FIRST) ? PAD_UPWARD : PAD_DOWNWARD)
ASM_OUTPUT_WEAK_ALIAS	44	1	4	PRESENCE	MINORITY	2	<undefined>	(STREAM,NAME,VALUE) do { ASM_WEAKEN_LABEL (STREAM, NAME); if (VALUE) ASM_OUTPUT_DEF (STREAM, NAME, VALUE); } while (0)
ASM_OUTPUT_SYMVER_DIRECTIVE	41	1	7	PRESENCE	MINORITY	1	<undefined>	(FILE,NAME,NAME2) do { fputs ("\t.symver\t", (FILE)); assemble_name ((FILE), (NAME)); fputs (", ", (FILE)); assemble_name ((FILE), (NAME2)); fputc ('\n', (FILE)); } while (0)
PCC_BITFIELD_TYPE_MATTERS	48	3	42	VALUE	majority	1	1	1
SIG_ATOMIC_TYPE	48	2	46	VALUE	majority	1	"int"	"int"
PROFILE_BEFORE_PROLOGUE	11	3	37	PRESENCE	majority	1	<undefined>	<undefined>
MEMORY_MOVE_COST	2	2	46	PRESENCE	majority	1	<undefined>	<undefined>
REG_WORDS_BIG_ENDIAN	48	1	48	CONVERTED	majority	1	(targetm_cdata.reg_words_big_endian)	(targetm_cdata.reg_words_big_endian)
SHORT_FRACT_TYPE_SIZE	48	2	45	VALUE	majority	1	BITS_PER_UNIT	BITS_PER_UNIT
LEGITIMIZE_RELOAD_ADDRESS	8	8	40	PRESENCE	majority	1	<undefined>	<undefined>
ATTRIBUTE_ALIGNED_VALUE	48	1	48	CONVERTED	majority	1	(targetm_cdata.attribute_aligned_value)	(targetm_cdata.attribute_aligned_value)
PUSH_ROUNDING	7	7	1	PRESENCE	MINORITY	2	(BYTES) ix86_push_rounding (BYTES)	<undefined>
INT_FAST32_TYPE	48	4	3	VALUE	MINORITY	1	"int"	(INT_TYPE_SIZE >= 32 ? "int" : INT_LEAST32_TYPE)
USE_SELECT_SECTION_FOR_FUNCTIONS	1	1	47	PRESENCE	majority	2	<undefined>	<undefined>
STACK_PUSH_CODE	48	4	44	VALUE	majority	1	PRE_DEC	PRE_DEC
MOVE_MAX_PIECES	48	1	48	CONVERTED	majority	1	(mt_move_max_pieces ())	(mt_move_max_pieces ())
ASM_OUTPUT_INTERNAL_LABEL	48	2	47	VALUE	majority	1	(FILE,NAME) do { assemble_name_raw ((FILE), (NAME)); fputs (":\n", (FILE)); } while (0)	(FILE,NAME) do { assemble_name_raw ((FILE), (NAME)); fputs (":\n", (FILE)); } while (0)
TARGET_MACHO	2	2	1	PRESENCE	MINORITY	1	1	<undefined>
INSN_SETS_ARE_DELAYED	48	3	46	VALUE	majority	1	(INSN) false	(INSN) false
DWARF_TYPE_SIGNATURE_SIZE	48	1	48	agree	majority	1	8	8
USE_GNU_UNIQUE_OBJECT	48	2	44	VALUE	majority	1	0	0
HAVE_DFmode	48	1	48	agree	majority	3		
GLOBAL_ASM_OP	45	8	6	PRESENCE	MINORITY	1	"\t.globl "	"\t.global\t"
HAVE_cpymemsi	21	6	16	PRESENCE	MINORITY	2	1	<undefined>
ASM_OUTPUT_POOL_PROLOGUE	1	1	47	PRESENCE	majority	1	<undefined>	<undefined>
